No	k_macropore_multp	k_soil_multp	theta_sat_multp	aquiferBaseflowExp_multp	aquiferBaseflowRate_multp	qSurfScale_multp	summerLAI_multp	frozenPrecipMultip_multp	routingGammaScale_multp	routingGammaShape_multp	Fcapil_multp	thickness_multp	-KGE
1	5.51E+01	5.57E+00	9.80E-01	4.38E+00	5.44E+01	1.50E+00	1.18E+00	1.31E+00	8.76E+00	8.39E-01	8.29E-01	6.07E+00	-2.98E-01
2	9.94E+01	2.45E+00	1.38E+00	3.23E+00	1.11E+01	1.98E+00	3.55E-01	6.01E-01	4.54E+00	1.05E+00	7.32E-01	4.27E-01	-5.05E-02
3	4.61E+01	3.77E+00	1.24E+00	6.12E-01	6.68E+01	1.44E+00	3.19E+00	1.31E+00	5.07E+00	1.06E+00	6.14E-01	6.63E+00	-5.61E-01
4	3.55E+01	4.15E+00	1.02E+00	1.28E+00	1.06E+01	5.20E-01	2.27E+00	6.00E-01	5.92E+00	9.98E-01	1.23E+00	5.16E+00	1.78E-02
5	4.87E+01	5.83E+00	1.37E+00	4.71E+00	4.37E+01	3.70E-01	3.29E+00	1.40E+00	7.01E+00	1.04E+00	1.55E+00	2.73E+00	-2.85E-01
6	3.18E+01	6.31E+00	9.44E-01	4.19E+00	5.24E+01	9.59E-01	2.40E+00	1.38E+00	5.86E-01	8.04E-01	2.46E-01	1.19E+00	-1.55E-01
7	2.62E+01	5.27E+00	9.98E-01	4.32E+00	2.26E+01	1.92E+00	1.83E+00	1.21E+00	7.75E+00	9.39E-01	1.14E+00	1.59E+00	-3.06E-01
8	5.25E+01	4.57E+00	8.98E-01	1.50E+00	2.33E+01	8.25E-02	1.96E+00	1.05E+00	9.12E+00	1.11E+00	7.24E-01	3.23E+00	-2.59E-01
9	2.39E+01	7.15E-01	1.04E+00	1.79E+00	9.99E+00	7.45E-01	1.48E+00	8.62E-01	1.07E+00	1.08E+00	4.84E-01	2.43E+00	-4.84E-01
10	6.58E+01	5.47E+00	8.50E-01	2.44E+00	1.08E+01	1.38E+00	2.14E+00	1.13E+00	3.26E+00	1.10E+00	1.45E+00	4.09E+00	-4.06E-01
11	7.80E+01	3.22E+00	8.95E-01	3.61E+00	2.09E+01	9.61E-01	4.23E-01	9.47E-01	5.70E+00	9.76E-01	1.27E+00	4.92E+00	-2.54E-01
12	2.03E+00	1.47E+00	1.16E+00	3.85E+00	2.24E+01	1.15E-01	3.14E+00	1.10E+00	2.51E+00	1.09E+00	1.38E+00	3.06E+00	-3.98E-01
13	8.06E+01	1.33E+00	8.44E-01	4.57E+00	8.75E+01	4.94E-01	7.64E-01	1.03E+00	9.99E+00	9.06E-01	1.61E+00	8.40E-01	-5.30E-01
14	9.51E+01	4.36E+00	1.33E+00	1.72E+00	3.53E+01	1.20E+00	2.74E+00	6.34E-01	5.01E-01	1.17E+00	1.40E+00	1.87E+00	-4.16E-02
15	4.02E+01	6.82E+00	1.30E+00	4.86E+00	3.90E+01	8.73E-01	2.11E+00	6.96E-01	6.12E+00	1.06E+00	3.16E-01	3.59E+00	2.31E-01
16	9.01E+01	2.40E+00	8.36E-01	4.55E+00	5.94E+01	1.96E+00	2.99E-02	1.05E+00	5.90E+00	1.10E+00	1.39E+00	6.92E+00	-4.10E-01
17	3.45E+01	4.60E+00	8.74E-01	2.24E+00	5.66E+01	1.80E+00	2.12E+00	1.47E+00	8.50E+00	9.32E-01	1.57E+00	1.80E+00	-1.59E-01
18	7.62E+01	4.12E+00	1.12E+00	2.16E+00	2.31E+01	1.08E+00	2.84E+00	6.32E-01	8.63E+00	1.15E+00	2.15E-01	3.38E+00	6.67E-01
19	8.51E+01	3.59E-01	8.25E-01	2.47E+00	7.89E+01	1.64E+00	1.26E+00	6.34E-01	4.60E+00	9.80E-01	9.47E-01	2.03E-01	-2.45E-01
20	5.36E+01	1.09E-01	1.40E+00	4.96E+00	4.55E+01	7.61E-01	4.12E-02	1.30E+00	5.34E+00	1.20E+00	1.66E+00	1.61E-01	7.63E-02
21	1.35E+01	5.80E-01	1.41E+00	1.82E+00	5.82E+01	1.63E+00	1.38E+00	6.33E-01	5.91E+00	1.06E+00	1.66E+00	1.01E+00	-2.20E-01
22	9.24E+01	3.13E+00	1.00E+00	2.38E+00	2.99E+01	1.76E+00	4.80E-01	1.20E+00	3.56E+00	8.00E-01	1.61E+00	5.10E+00	-5.05E-01
23	8.91E+01	4.91E+00	1.42E+00	4.20E+00	4.02E+01	1.03E+00	1.81E+00	1.44E+00	5.21E+00	9.58E-01	1.56E+00	7.15E+00	-2.49E-01
24	7.70E+01	6.74E+00	1.35E+00	1.84E+00	9.39E+01	1.54E+00	1.05E+00	1.36E+00	2.09E+00	1.03E+00	5.88E-01	3.71E+00	-4.99E-01
25	4.55E+01	3.08E+00	9.61E-01	4.12E+00	4.25E+01	3.46E-01	1.65E+00	8.16E-01	8.48E+00	9.51E-01	3.73E-01	1.87E+00	-1.64E-01
26	8.88E+01	4.89E+00	9.51E-01	2.32E+00	7.43E+00	2.47E-01	1.25E+00	1.34E+00	6.37E-01	8.59E-01	3.81E-01	7.32E+00	-3.85E-01
27	9.84E+01	5.66E+00	1.03E+00	4.24E+00	1.64E+01	8.92E-01	2.68E-01	5.52E-01	1.28E+00	9.06E-01	8.50E-01	1.47E+00	2.12E-01
28	4.22E+01	4.54E+00	9.30E-01	4.93E+00	4.49E+01	9.05E-01	3.24E+00	9.33E-01	2.41E+00	9.10E-01	5.63E-01	2.96E+00	-1.23E-01
29	1.53E+01	3.73E+00	9.13E-01	2.24E+00	7.89E+01	8.01E-01	2.62E+00	1.00E+00	7.41E+00	8.94E-01	6.75E-01	2.59E+00	-4.16E-01
30	1.39E+01	2.68E+00	1.05E+00	4.44E+00	4.33E+01	1.53E+00	1.96E+00	1.18E+00	6.18E+00	8.77E-01	1.01E+00	5.54E+00	-3.64E-01
31	8.11E+01	8.77E-01	1.04E+00	7.62E-01	8.20E+01	1.71E+00	2.52E+00	1.47E+00	3.75E+00	1.15E+00	7.06E-01	1.21E+00	-2.50E-01
32	2.80E+01	1.09E+00	1.27E+00	5.79E-01	3.78E+01	2.25E-02	1.22E+00	1.02E+00	3.75E+00	1.08E+00	7.54E-01	5.91E+00	-4.62E-01
33	6.24E+01	1.14E+00	1.10E+00	4.40E+00	8.86E+01	4.45E-01	9.32E-01	5.21E-01	2.93E+00	8.59E-01	6.40E-01	6.40E+00	1.73E-01
34	9.59E+01	5.24E+00	8.26E-01	2.95E+00	3.68E+01	1.99E+00	2.25E+00	1.26E+00	3.51E+00	1.05E+00	1.99E-01	5.82E+00	-4.61E-01
35	9.94E+01	8.46E-01	9.97E-01	3.07E+00	6.86E+01	9.36E-01	1.24E+00	8.10E-01	6.17E+00	1.11E+00	4.33E-01	3.70E+00	-1.63E-01
36	9.90E+01	3.31E+00	1.18E+00	1.74E+00	6.03E+01	1.67E+00	4.85E-01	1.06E+00	5.68E+00	8.58E-01	3.27E-01	6.86E+00	-5.01E-01
37	1.43E+01	5.63E+00	1.29E+00	2.69E+00	3.97E+01	1.43E+00	9.26E-01	8.91E-01	8.21E+00	1.01E+00	1.61E+00	3.75E+00	1.05E-01
38	9.59E+01	4.31E+00	9.62E-01	4.00E+00	8.17E+00	1.45E+00	1.45E+00	9.68E-01	7.23E+00	1.09E+00	1.61E+00	6.86E+00	-1.98E-01
39	4.75E+01	5.05E+00	1.14E+00	1.93E+00	4.83E+01	3.27E-01	2.07E+00	5.54E-01	9.93E+00	9.60E-01	5.05E-01	5.98E+00	8.05E-01
40	6.04E+01	1.20E+00	1.37E+00	2.17E+00	9.73E+01	1.50E+00	1.40E-01	1.07E+00	5.30E+00	1.07E+00	5.75E-01	3.48E+00	-6.30E-01
41	8.25E+00	1.11E+00	1.42E+00	4.80E+00	7.06E+01	8.56E-01	1.88E+00	6.81E-01	1.32E+00	8.14E-01	9.16E-01	4.49E+00	1.69E-01
42	1.89E+01	9.19E-01	1.27E+00	1.32E+00	5.20E+01	1.78E+00	3.31E+00	6.24E-01	5.45E-01	1.12E+00	9.08E-01	1.83E-01	-5.84E-01
43	5.42E+01	3.87E+00	1.22E+00	8.05E-01	2.18E+01	1.72E+00	1.79E+00	8.01E-01	1.20E-01	9.65E-01	5.52E-01	5.23E+00	-2.99E-01
44	8.36E+01	5.91E+00	1.43E+00	4.82E+00	8.56E+01	7.87E-01	1.89E+00	5.45E-01	5.12E+00	8.91E-01	5.06E-01	2.50E-01	2.63E-02
45	1.14E+01	1.62E+00	9.27E-01	1.21E+00	1.17E+00	1.30E+00	5.91E-01	1.05E+00	1.89E+00	1.10E+00	1.10E+00	2.97E+00	-4.50E-01
46	6.17E+01	1.19E+00	1.30E+00	3.29E+00	5.71E+01	1.91E+00	1.09E+00	9.07E-01	7.81E+00	8.86E-01	7.16E-01	4.69E+00	-1.17E-01
